STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,WESD,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM,WT09,WT14,WT07,WT01,WT15,WT17,WT06,WT21,WT05,WT02,WT11,WT22,WT04,WT13,WT16,WT08,WT18,WT03,WT19
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20100101,0.00,2.0,0.0,-9999,16,5,0.0,10.3,320,320,15.0,19.9,2351,2359,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20100102,0.00,2.0,0.0,-9999,11,2,0.0,11.9,340,330,17.9,21.9,2206,928,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20100103,0.00,2.0,0.0,-9999,18,-1,0.0,10.3,330,340,16.1,19.9,1917,2114,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20100104,0.00,2.0,0.0,-9999,18,7,0.0,11.4,310,360,17.0,21.9,1300,1644,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20100105,0.00,2.0,0.0,-9999,23,13,0.0,8.5,340,340,16.1,21.0,1500,1518,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20100106,0.01,2.0,0.1,-9999,20,10,0.0,5.4,320,310,12.1,14.1,1129,1114,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,1,1,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20100107,0.27,3.0,3.9,-9999,22,16,0.0,5.6,330,300,13.0,15.0,1952,1250,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,1,-9999,1,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20100108,0.27,8.0,3.5,-9999,27,11,0.0,13.6,340,340,23.0,29.1,758,722,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,1,-9999,1,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20100109,0.00,7.0,0.0,-9999,22,6,0.0,8.5,320,10,15.0,17.9,1107,647,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20100110,0.00,6.0,0.0,-9999,18,0,0.0,11.2,210,220,23.9,31.1,2054,1842,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20100111,0.00,6.0,0.0,-9999,26,15,0.0,12.3,340,320,21.0,30.0,1616,1808,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20100112,0.00,5.0,0.0,-9999,31,20,0.0,8.7,330,330,17.9,23.0,5,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999
