prcp,snow,tavg,tmax,tmin,awnd,date,month,year,day
0.0,0.0,,16.0,5.0,10.3,2010-01-01,1,2010,1
0.0,0.0,,11.0,2.0,11.9,2010-01-02,1,2010,2
0.0,0.0,,18.0,-1.0,10.3,2010-01-03,1,2010,3
0.0,0.0,,18.0,7.0,11.4,2010-01-04,1,2010,4
0.0,0.0,,23.0,13.0,8.5,2010-01-05,1,2010,5
0.01,0.1,,20.0,10.0,5.4,2010-01-06,1,2010,6
0.27,3.9,,22.0,16.0,5.6,2010-01-07,1,2010,7
0.27,3.5,,27.0,11.0,13.6,2010-01-08,1,2010,8
0.0,0.0,,22.0,6.0,8.5,2010-01-09,1,2010,9
0.0,0.0,,18.0,0.0,11.2,2010-01-10,1,2010,10
0.0,0.0,,26.0,15.0,12.3,2010-01-11,1,2010,11
0.0,0.0,,31.0,20.0,8.7,2010-01-12,1,2010,12
0.0,0.0,,35.0,19.0,14.1,2010-01-13,1,2010,13
0.0,0.0,,40.0,31.0,10.7,2010-01-14,1,2010,14
0.0,0.0,,34.0,25.0,6.0,2010-01-15,1,2010,15
0.0,0.0,,27.0,23.0,7.2,2010-01-16,1,2010,16
0.0,0.0,,29.0,19.0,5.4,2010-01-17,1,2010,17
0.0,0.0,,31.0,27.0,6.7,2010-01-18,1,2010,18
0.0,0.0,,38.0,27.0,4.0,2010-01-19,1,2010,19
0.01,0.0,,33.0,24.0,15.0,2010-01-20,1,2010,20
0.08,0.0,,35.0,30.0,15.2,2010-01-21,1,2010,21
0.0,0.0,,35.0,33.0,9.8,2010-01-22,1,2010,22
0.0,0.0,,44.0,34.0,12.1,2010-01-23,1,2010,23
0.49,0.0,,46.0,30.0,14.1,2010-01-24,1,2010,24
0.0,0.5,,32.0,19.0,13.4,2010-01-25,1,2010,25
0.0,0.2,,24.0,12.0,14.3,2010-01-26,1,2010,26
0.0,0.9,,23.0,9.0,12.8,2010-01-27,1,2010,27
0.0,0.0,,17.0,6.0,11.6,2010-01-28,1,2010,28
0.0,0.0,,21.0,5.0,4.7,2010-01-29,1,2010,29
0.0,0.0,,25.0,18.0,5.8,2010-01-30,1,2010,30
0.0,0.0,,29.0,15.0,7.4,2010-01-31,1,2010,31
0.0,0.0,,30.0,14.0,4.0,2010-02-01,2,2010,1
0.1,2.1,,32.0,25.0,7.2,2010-02-02,2,2010,2
0.0,0.0,,32.0,23.0,5.6,2010-02-03,2,2010,3
0.0,0.0,,33.0,21.0,6.3,2010-02-04,2,2010,4
0.02,0.2,,35.0,30.0,15.0,2010-02-05,2,2010,5
0.0,0.0,,31.0,25.0,15.2,2010-02-06,2,2010,6
0.0,0.0,,31.0,23.0,5.8,2010-02-07,2,2010,7
0.0,0.0,,30.0,20.0,8.7,2010-02-08,2,2010,8
0.65,12.6,,28.0,23.0,10.7,2010-02-09,2,2010,9
0.02,0.3,,26.0,17.0,14.5,2010-02-10,2,2010,10
0.0,0.0,,30.0,10.0,5.8,2010-02-11,2,2010,11
0.0,0.0,,32.0,10.0,4.7,2010-02-12,2,2010,12
0.0,0.0,,30.0,11.0,7.2,2010-02-13,2,2010,13
0.0,0.0,,29.0,9.0,5.6,2010-02-14,2,2010,14
0.0,0.3,,28.0,6.0,8.5,2010-02-15,2,2010,15
0.0,0.0,,32.0,25.0,11.9,2010-02-16,2,2010,16
0.0,0.0,,32.0,26.0,10.3,2010-02-17,2,2010,17
0.0,0.0,,39.0,25.0,7.2,2010-02-18,2,2010,18
0.0,0.0,,42.0,19.0,4.7,2010-02-19,2,2010,19
0.01,0.2,,39.0,30.0,5.1,2010-02-20,2,2010,20
0.36,2.0,,36.0,33.0,7.6,2010-02-21,2,2010,21
0.14,1.1,,33.0,29.0,10.5,2010-02-22,2,2010,22
0.0,0.0,,33.0,22.0,6.5,2010-02-23,2,2010,23
0.34,3.6,,29.0,21.0,12.1,2010-02-24,2,2010,24
0.0,0.0,,28.0,18.0,11.9,2010-02-25,2,2010,25
0.0,0.0,,31.0,17.0,13.2,2010-02-26,2,2010,26
0.0,0.1,,34.0,28.0,11.4,2010-02-27,2,2010,27
0.0,0.0,,38.0,32.0,7.2,2010-02-28,2,2010,28
0.0,0.0,,36.0,27.0,7.6,2010-03-01,3,2010,1
0.0,0.0,,33.0,23.0,8.5,2010-03-02,3,2010,2
0.0,0.0,,39.0,24.0,8.5,2010-03-03,3,2010,3
0.0,0.0,,42.0,22.0,6.7,2010-03-04,3,2010,4
0.0,0.0,,38.0,23.0,6.7,2010-03-05,3,2010,5
0.0,0.0,,45.0,20.0,3.4,2010-03-06,3,2010,6
0.03,0.0,,46.0,26.0,3.8,2010-03-07,3,2010,7
0.0,0.0,,44.0,33.0,2.2,2010-03-08,3,2010,8
0.01,0.0,,51.0,32.0,6.5,2010-03-09,3,2010,9
0.07,0.0,,62.0,46.0,8.1,2010-03-10,3,2010,10
0.34,0.0,,60.0,44.0,9.4,2010-03-11,3,2010,11
0.01,0.0,,55.0,40.0,8.5,2010-03-12,3,2010,12
0.61,0.0,,45.0,41.0,16.1,2010-03-13,3,2010,13
0.0,0.0,,50.0,40.0,16.6,2010-03-14,3,2010,14
0.0,0.0,,48.0,39.0,7.6,2010-03-15,3,2010,15
0.0,0.0,,61.0,35.0,4.5,2010-03-16,3,2010,16
0.0,0.0,,63.0,32.0,3.8,2010-03-17,3,2010,17
0.0,0.0,,61.0,41.0,9.6,2010-03-18,3,2010,18
0.0,0.0,,65.0,39.0,11.4,2010-03-19,3,2010,19
0.42,1.8,,39.0,31.0,15.7,2010-03-20,3,2010,20
0.02,0.0,,42.0,33.0,13.6,2010-03-21,3,2010,21
0.0,0.0,,49.0,34.0,12.8,2010-03-22,3,2010,22
0.0,0.0,,59.0,28.0,4.5,2010-03-23,3,2010,23
0.0,0.0,,53.0,35.0,4.9,2010-03-24,3,2010,24
0.03,0.0,,47.0,29.0,17.9,2010-03-25,3,2010,25
0.0,0.0,,41.0,27.0,9.6,2010-03-26,3,2010,26
0.01,0.0,,50.0,31.0,9.4,2010-03-27,3,2010,27
0.0,0.0,,52.0,37.0,14.1,2010-03-28,3,2010,28
0.0,0.0,,46.0,30.0,6.9,2010-03-29,3,2010,29
0.0,0.0,,64.0,29.0,11.0,2010-03-30,3,2010,30
0.0,0.0,,77.0,51.0,14.8,2010-03-31,3,2010,31
0.0,0.0,,83.0,54.0,15.2,2010-04-01,4,2010,1
0.0,0.0,,81.0,59.0,17.7,2010-04-02,4,2010,2
0.18,0.0,,59.0,49.0,11.9,2010-04-03,4,2010,3
0.8,0.0,,76.0,39.0,13.6,2010-04-04,4,2010,4
0.82,0.0,,72.0,50.0,8.5,2010-04-05,4,2010,5
0.37,0.0,,76.0,47.0,8.7,2010-04-06,4,2010,6
0.13,0.0,,49.0,37.0,11.4,2010-04-07,4,2010,7
0.0,0.0,,40.0,34.0,11.6,2010-04-08,4,2010,8
0.0,0.0,,56.0,30.0,7.6,2010-04-09,4,2010,9
0.0,0.0,,74.0,38.0,11.4,2010-04-10,4,2010,10
0.0,0.0,,63.0,44.0,8.1,2010-04-11,4,2010,11
0.01,0.0,,70.0,44.0,11.4,2010-04-12,4,2010,12
0.0,0.0,,63.0,48.0,12.1,2010-04-13,4,2010,13
0.0,0.0,,80.0,46.0,8.5,2010-04-14,4,2010,14
0.0,0.0,,82.0,61.0,12.8,2010-04-15,4,2010,15
0.0,0.0,,68.0,39.0,13.0,2010-04-16,4,2010,16
0.0,0.0,,59.0,37.0,11.4,2010-04-17,4,2010,17
0.0,0.0,,52.0,36.0,8.5,2010-04-18,4,2010,18
0.0,0.0,,56.0,35.0,6.3,2010-04-19,4,2010,19
0.0,0.0,,64.0,38.0,3.8,2010-04-20,4,2010,20
0.0,0.0,,62.0,41.0,10.5,2010-04-21,4,2010,21
0.0,0.0,,60.0,38.0,7.2,2010-04-22,4,2010,22
0.07,0.0,,63.0,41.0,7.8,2010-04-23,4,2010,23
0.26,0.0,,60.0,51.0,12.1,2010-04-24,4,2010,24
0.31,0.0,,60.0,47.0,13.4,2010-04-25,4,2010,25
0.0,0.0,,63.0,47.0,14.8,2010-04-26,4,2010,26
0.0,0.0,,51.0,37.0,12.1,2010-04-27,4,2010,27
0.0,0.0,,64.0,33.0,4.7,2010-04-28,4,2010,28
0.0,0.0,,79.0,46.0,18.3,2010-04-29,4,2010,29
0.06,0.0,,81.0,62.0,18.1,2010-04-30,4,2010,30
0.11,0.0,,70.0,58.0,9.4,2010-05-01,5,2010,1
0.93,0.0,,69.0,53.0,6.0,2010-05-02,5,2010,2
0.0,0.0,,72.0,50.0,9.4,2010-05-03,5,2010,3
0.0,0.0,,79.0,50.0,14.3,2010-05-04,5,2010,4
0.0,0.0,,72.0,56.0,12.8,2010-05-05,5,2010,5
0.01,0.0,,63.0,46.0,9.2,2010-05-06,5,2010,6
0.72,0.0,,59.0,45.0,13.2,2010-05-07,5,2010,7
0.02,0.0,,50.0,42.0,15.2,2010-05-08,5,2010,8
0.0,0.0,,58.0,38.0,6.5,2010-05-09,5,2010,9
0.0,0.0,,58.0,41.0,14.3,2010-05-10,5,2010,10
0.97,0.0,,52.0,44.0,9.8,2010-05-11,5,2010,11
0.12,0.0,,51.0,44.0,10.5,2010-05-12,5,2010,12
1.49,0.0,,73.0,48.0,12.3,2010-05-13,5,2010,13
0.0,0.0,,66.0,47.0,11.2,2010-05-14,5,2010,14
0.0,0.0,,61.0,43.0,5.8,2010-05-15,5,2010,15
0.0,0.0,,66.0,41.0,10.1,2010-05-16,5,2010,16
0.01,0.0,,58.0,50.0,9.8,2010-05-17,5,2010,17
0.0,0.0,,65.0,46.0,9.8,2010-05-18,5,2010,18
0.0,0.0,,74.0,44.0,6.5,2010-05-19,5,2010,19
0.05,0.0,,74.0,47.0,7.8,2010-05-20,5,2010,20
0.21,0.0,,73.0,56.0,6.3,2010-05-21,5,2010,21
0.0,0.0,,74.0,58.0,5.4,2010-05-22,5,2010,22
0.0,0.0,,89.0,62.0,10.1,2010-05-23,5,2010,23
0.0,0.0,,91.0,70.0,8.3,2010-05-24,5,2010,24
0.0,0.0,,88.0,69.0,7.8,2010-05-25,5,2010,25
0.0,0.0,,87.0,66.0,4.5,2010-05-26,5,2010,26
0.0,0.0,,77.0,61.0,10.7,2010-05-27,5,2010,27
0.0,0.0,,79.0,57.0,8.5,2010-05-28,5,2010,28
0.0,0.0,,86.0,59.0,5.8,2010-05-29,5,2010,29
0.0,0.0,,91.0,61.0,5.8,2010-05-30,5,2010,30
0.26,0.0,,81.0,66.0,4.7,2010-05-31,5,2010,31
0.0,0.0,,85.0,63.0,6.0,2010-06-01,6,2010,1
1.02,0.0,,77.0,57.0,8.7,2010-06-02,6,2010,2
0.0,0.0,,71.0,56.0,7.8,2010-06-03,6,2010,3
0.0,0.0,,83.0,57.0,9.8,2010-06-04,6,2010,4
0.15,0.0,,79.0,60.0,7.8,2010-06-05,6,2010,5
0.0,0.0,,76.0,55.0,11.2,2010-06-06,6,2010,6
0.0,0.0,,70.0,54.0,6.9,2010-06-07,6,2010,7
0.45,0.0,,67.0,58.0,10.1,2010-06-08,6,2010,8
0.0,0.0,,83.0,65.0,10.7,2010-06-09,6,2010,9
0.0,0.0,,77.0,58.0,6.7,2010-06-10,6,2010,10
0.02,0.0,,89.0,64.0,10.5,2010-06-11,6,2010,11
0.34,0.0,,77.0,62.0,8.1,2010-06-12,6,2010,12
0.25,0.0,,71.0,62.0,4.9,2010-06-13,6,2010,13
0.0,0.0,,70.0,60.0,6.7,2010-06-14,6,2010,14
0.59,0.0,,79.0,60.0,5.6,2010-06-15,6,2010,15
0.0,0.0,,82.0,63.0,8.9,2010-06-16,6,2010,16
0.0,0.0,,84.0,64.0,7.6,2010-06-17,6,2010,17
0.87,0.0,,90.0,67.0,10.5,2010-06-18,6,2010,18
0.0,0.0,,85.0,66.0,10.5,2010-06-19,6,2010,19
0.0,0.0,,81.0,64.0,4.7,2010-06-20,6,2010,20
0.22,0.0,,85.0,67.0,8.5,2010-06-21,6,2010,21
0.0,0.0,,85.0,69.0,6.9,2010-06-22,6,2010,22
0.87,0.0,,87.0,69.0,11.4,2010-06-23,6,2010,23
0.0,0.0,,84.0,65.0,8.7,2010-06-24,6,2010,24
0.0,0.0,,84.0,62.0,7.4,2010-06-25,6,2010,25
0.85,0.0,,87.0,69.0,6.7,2010-06-26,6,2010,26
0.54,0.0,,85.0,72.0,9.2,2010-06-27,6,2010,27
0.0,0.0,,82.0,63.0,11.4,2010-06-28,6,2010,28
0.0,0.0,,75.0,59.0,7.6,2010-06-29,6,2010,29
0.0,0.0,,75.0,56.0,6.0,2010-06-30,6,2010,30
0.0,0.0,,77.0,55.0,5.6,2010-07-01,7,2010,1
0.0,0.0,,83.0,59.0,8.1,2010-07-02,7,2010,2
0.0,0.0,,87.0,60.0,8.9,2010-07-03,7,2010,3
0.0,0.0,,91.0,68.0,10.5,2010-07-04,7,2010,4
0.0,0.0,,91.0,78.0,15.2,2010-07-05,7,2010,5
0.37,0.0,,90.0,73.0,8.9,2010-07-06,7,2010,6
0.2,0.0,,93.0,71.0,6.3,2010-07-07,7,2010,7
0.16,0.0,,88.0,73.0,5.4,2010-07-08,7,2010,8
0.0,0.0,,88.0,70.0,7.6,2010-07-09,7,2010,9
0.0,0.0,,89.0,69.0,8.1,2010-07-10,7,2010,10
0.79,0.0,,85.0,66.0,7.8,2010-07-11,7,2010,11
0.0,0.0,,84.0,65.0,3.8,2010-07-12,7,2010,12
0.17,0.0,,84.0,70.0,6.0,2010-07-13,7,2010,13
0.0,0.0,,90.0,70.0,10.1,2010-07-14,7,2010,14
0.01,0.0,,90.0,71.0,10.1,2010-07-15,7,2010,15
